team,Avg Points Per Game,Avg Poss Per Game
Pennsylvania Quakers,74.14,68.71
Pepperdine Waves,73.47,67.35
Pfeiffer Falcons,60.0,74.44
Pittsburgh Panthers,75.94,68.08
Portland Pilots,69.97,68.42
Portland State Vikings,71.65,70.91
Prairie View A&M Panthers,67.68,71.83
Presbyterian Blue Hose,75.16,70.77
Princeton Tigers,76.93,66.21
Providence Friars,73.0,70.59
Purdue Boilermakers,83.66,71.03
Purdue Fort Wayne Mastodons,81.38,74.28
Queens University Royals,80.38,75.21
Quinnipiac Bobcats,78.34,72.99
Radford Highlanders,72.31,67.27
Regent Royals,29.0,71.98
Reinhardt Eagles,46.0,79.28
Rhode Island Rams,72.61,70.34
Rice Owls,71.71,69.6
Richmond Spiders,72.68,68.9
Rider Broncs,72.94,71.07
Robert Morris Colonials,73.0,70.86
Rutgers Scarlet Knights,65.84,69.93
SE Louisiana Lions,69.13,68.71
SIU Edwardsville Cougars,71.78,68.85
SMU Mustangs,76.87,69.79
Sacramento State Hornets,67.0,66.61
Sacred Heart Pioneers,74.68,71.85
Saint Joseph's Hawks,76.03,69.97
Saint Joseph's Long Island Golden Eagles,48.0,70.6
Saint Louis Billikens,75.0,71.15
Saint Mary of the Woods College Pomeroys,60.0,73.38
Saint Mary's Gaels,74.41,64.65
Saint Peter's Peacocks,65.26,67.53
Sam Houston Bearkats,72.44,71.55
Samford Bulldogs,86.27,75.5
San Diego State Aztecs,75.0,69.72
San Diego Toreros,70.09,70.38
San Francisco Dons,77.94,69.59
San José State Spartans,69.87,68.03
Santa Clara Broncos,77.28,71.57
Schreiner Mountaineers,63.0,80.82
Science & Arts (OK) Drovers,72.0,88.54
Seattle U Redhawks,73.62,71.46
Seton Hall Pirates,72.81,69.15
Shawnee State Bears,40.0,70.84
Siena Saints,60.29,68.28
South Alabama Jaguars,74.06,72.47
South Carolina Gamecocks,72.56,65.89
South Carolina State Bulldogs,70.55,72.74
South Carolina Upstate Spartans,71.38,70.76
South Dakota Coyotes,76.52,72.29
South Dakota Mines Hardrockers,48.0,69.24
South Dakota State Jackrabbits,76.79,70.22
South Florida Bulls,75.6,70.51
Southeast Missouri State Redhawks,66.93,71.89
Southern Illinois Salukis,72.35,67.39
Southern Indiana Screaming Eagles,68.74,71.38
Southern Jaguars,71.52,72.35
Southern Miss Golden Eagles,70.23,70.59
Southern Utah Thunderbirds,75.27,73.05
Southern Virginia Knights,56.0,68.7
